threads,time_ms
1,6867.28
6,3595.09
11,3743.33
16,4449.11
21,4602.81
26,5217.34
31,5917.81
36,5194.33
41,5727.85
46,6048.83
51,5920.78
56,6339.81
61,6350.37
66,7452.24
71,7089.88
76,7448.56
81,7826.54
86,8657.26
91,8092.97
96,8311.42
