threads,time_ms
1,4.77
2,76.15
3,75.18
4,77.66
5,100.58
6,92.71
7,97.97
8,113.24
9,132.56
10,137.29
11,143.26
12,153.13
13,180.26
14,172.19
15,187.24
16,205.37
17,226.00
18,236.95
19,271.81
20,249.89
